"","UMAP_1","UMAP_2"
"C02027",-2.58310931427765,2.24622146786815
"C02028",-4.23628943665314,1.86476366223461
"C02029",-2.39941876633453,-2.38901837168568
"C02030",0.698140924140932,-2.83103068171376
"C02031",1.49358004824829,-3.47211058436268
"C02032",0.491121833488466,-2.52142579851979
"C02033",0.837914590999605,-2.75243814288014
"C02034",1.48903999225807,-3.41602022944325
"C02035",-3.86086600525665,0.615387782470051
"C02036",-0.985356266334532,1.7360856980241
"C02037",-3.8387946437149,0.429256394521061
"C02038",-4.75887768967438,-1.16959412394398
"C02040",-3.4224824260025,3.82891885937816
"C02041",-1.605634624794,2.67640249432689
"C02042",-2.95384162171173,1.76491062344677
"C02044",-2.1094097445755,0.728930518046681
"C02045",1.58515991763783,-4.52430303393238
"C02046",-3.25177472336578,-2.81058771906727
"C02047",-3.05611270172882,-0.84651394186848
"C02048",-4.72344201309967,2.28786127270824
"C02049",-3.84424918396759,-2.42841847239369
"C02050",-4.28066390259552,2.42528764905101
"C02051",-3.26364653809357,-2.42807562647694
"C02052",-5.49856513245392,-1.44278116522663
"C02053",-1.72605221970367,2.65141503514415
"C02054",-3.69165366394806,3.42479817570812
"C02055",-4.40510886414337,2.77558295430309
"C02056",-4.13388293488312,1.3597372025407
"C02057",1.97662535803032,-4.9083429127776
"C02058",-4.13267987473297,2.58197943867809
"C02059",-4.78369229538727,-0.709538117035564
"C02060",-3.45033257706451,-1.10004527865284
"C02062",-3.06714957459259,1.24381534756786
"C02063",-2.90980618698883,2.10091130437023
"C02064",-2.6251077006607,3.40598766507274
"C02065",-2.84160416825104,1.58136837185985
"C02066",-3.24676936371612,-1.03059776125782
"C02067",1.84602163480234,-3.68274720011586
"C02068",-3.04465001328277,2.19251386822826
"C02069",-2.4298180888443,3.19615308941967
"C02070",1.89116256432247,-4.73989637194508
"C02071",-2.12542169792938,0.653329715148274
"C02072",-0.887428219154356,0.115071654335324
"C02073",-3.75027554734039,-2.40340526400441
"C02075",-3.39831155045318,-2.44270260630482
"C02076",1.41939872996521,-4.58191068468922
"C02077",1.73516213269544,-4.66528852282399
"C02078",-1.30688160164642,3.06772176922924
"C02079",-3.62927382691192,2.41003505887157
"C02080",-3.60906308396149,-2.69609268008107
"C02081",-3.99358981354523,-2.44647009669178
"C02082",-0.607327396705626,0.158755391851727
"C02083",-3.25323909027862,-2.68875296412342
"C02084",-4.29524844391632,2.78087131680614
"C02085",2.15174574153137,-4.85493047533863
"C02086",-2.83272546036529,-2.97208817301625
